[2020-04-07T09:04:37.865+0500][gc,heap      ] GC(6) Old regions: 6->6
[2020-04-07T09:04:37.865+0500][gc,heap      ] GC(6) Humongous regions: 0->0
[2020-04-07T09:04:37.865+0500][gc,metaspace ] GC(6) Metaspace: 16044K->16044K(1064960K)
[2020-04-07T09:04:37.867+0500][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 12.989ms
[2020-04-07T09:04:37.867+0500][gc,cpu       ] GC(6) User=0.00s Sys=0.01s Real=0.01s
[2020-04-07T13:33:55.824+0500][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-07T13:33:55.826+0500][gc,task      ] GC(7) Using 4 workers of 4 for evacuation
[2020-04-07T13:33:55.846+0500][gc,mmu       ] GC(7) MMU target violated: 20.2ms (20.0ms/21.0ms)
[2020-04-07T13:33:55.846+0500][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 1.8ms
[2020-04-07T13:33:55.846+0500][gc,phases    ] GC(7)   Evacuate Collection Set: 17.0ms
[2020-04-07T13:33:55.846+0500][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.2ms
[2020-04-07T13:33:55.846+0500][gc,phases    ] GC(7)   Other: 4.4ms
[2020-04-07T13:33:55.846+0500][gc,heap      ] GC(7) Eden regions: 24->0(24)
[2020-04-07T13:33:55.846+0500][gc,heap      ] GC(7) Survivor regions: 1->1(4)
[2020-04-07T13:33:55.846+0500][gc,heap      ] GC(7) Old regions: 6->6
[2020-04-07T13:33:55.846+0500][gc,heap      ] GC(7) Humongous regions: 0->0
[2020-04-07T13:33:55.846+0500][gc,metaspace ] GC(7) Metaspace: 16048K->16048K(1064960K)
[2020-04-07T13:33:55.846+0500][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 22.397ms
[2020-04-07T13:33:55.846+0500][gc,cpu       ] GC(7) User=0.01s Sys=0.01s Real=0.02s
[2020-04-07T18:03:46.091+0500][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-07T18:03:46.095+0500][gc,task      ] GC(8) Using 4 workers of 4 for evacuation
[2020-04-07T18:03:46.118+0500][gc,mmu       ] GC(8) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-07T18:03:46.118+0500][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 4.7ms
[2020-04-07T18:03:46.118+0500][gc,phases    ] GC(8)   Evacuate Collection Set: 14.6ms
[2020-04-07T18:03:46.118+0500][gc,phases    ] GC(8)   Post Evacuate Collection Set: 1.3ms
[2020-04-07T18:03:46.118+0500][gc,phases    ] GC(8)   Other: 6.3ms
[2020-04-07T18:03:46.118+0500][gc,heap      ] GC(8) Eden regions: 24->0(24)
[2020-04-07T18:03:46.118+0500][gc,heap      ] GC(8) Survivor regions: 1->1(4)
[2020-04-07T18:03:46.118+0500][gc,heap      ] GC(8) Old regions: 6->6
[2020-04-07T18:03:46.118+0500][gc,heap      ] GC(8) Humongous regions: 0->0
[2020-04-07T18:03:46.118+0500][gc,metaspace ] GC(8) Metaspace: 16048K->16048K(1064960K)
[2020-04-07T18:03:46.118+0500][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 27.201ms
[2020-04-07T18:03:46.119+0500][gc,cpu       ] GC(8) User=0.00s Sys=0.01s Real=0.02s
[2020-04-07T23:55:32.679+0500][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-07T23:55:32.682+0500][gc,task      ] GC(9) Using 4 workers of 4 for evacuation
[2020-04-07T23:55:32.695+0500][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 1.0ms
[2020-04-07T23:55:32.695+0500][gc,phases    ] GC(9)   Evacuate Collection Set: 10.9ms
[2020-04-07T23:55:32.695+0500][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.2ms
[2020-04-07T23:55:32.695+0500][gc,phases    ] GC(9)   Other: 3.8ms
[2020-04-07T23:55:32.695+0500][gc,heap      ] GC(9) Eden regions: 24->0(24)
[2020-04-07T23:55:32.695+0500][gc,heap      ] GC(9) Survivor regions: 1->1(4)
[2020-04-07T23:55:32.695+0500][gc,heap      ] GC(9) Old regions: 6->6
[2020-04-07T23:55:32.695+0500][gc,heap      ] GC(9) Humongous regions: 0->0
[2020-04-07T23:55:32.695+0500][gc,metaspace ] GC(9) Metaspace: 16049K->16049K(1064960K)
[2020-04-07T23:55:32.695+0500][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 16.133ms
[2020-04-07T23:55:32.695+0500][gc,cpu       ] GC(9) User=0.00s Sys=0.02s Real=0.02s
[2020-04-08T09:51:25.694+0500][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-08T09:51:25.696+0500][gc,task      ] GC(10) Using 4 workers of 4 for evacuation
[2020-04-08T09:51:25.724+0500][gc,mmu       ] GC(10) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-08T09:51:25.724+0500][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 2.2ms
[2020-04-08T09:51:25.724+0500][gc,phases    ] GC(10)   Evacuate Collection Set: 20.3ms
[2020-04-08T09:51:25.724+0500][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.2ms
[2020-04-08T09:51:25.725+0500][gc,phases    ] GC(10)   Other: 8.5ms
[2020-04-08T09:51:25.725+0500][gc,heap      ] GC(10) Eden regions: 24->0(24)
[2020-04-08T09:51:25.725+0500][gc,heap      ] GC(10) Survivor regions: 1->1(4)
[2020-04-08T09:51:25.725+0500][gc,heap      ] GC(10) Old regions: 6->6
[2020-04-08T09:51:25.725+0500][gc,heap      ] GC(10) Humongous regions: 0->0
[2020-04-08T09:51:25.725+0500][gc,metaspace ] GC(10) Metaspace: 16055K->16055K(1064960K)
[2020-04-08T09:51:25.726+0500][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 32.606ms
[2020-04-08T09:51:25.727+0500][gc,cpu       ] GC(10) User=0.00s Sys=0.02s Real=0.03s
[2020-04-08T14:08:59.654+0500][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-08T14:08:59.654+0500][gc,task      ] GC(11) Using 4 workers of 4 for evacuation
[2020-04-08T14:08:59.679+0500][gc,mmu       ] GC(11) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-08T14:08:59.679+0500][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.6ms
[2020-04-08T14:08:59.679+0500][gc,phases    ] GC(11)   Evacuate Collection Set: 18.3ms
[2020-04-08T14:08:59.679+0500][gc,phases    ] GC(11)   Post Evacuate Collection Set: 1.3ms
[2020-04-08T14:08:59.679+0500][gc,phases    ] GC(11)   Other: 6.1ms
[2020-04-08T14:08:59.679+0500][gc,heap      ] GC(11) Eden regions: 24->0(24)
[2020-04-08T14:08:59.679+0500][gc,heap      ] GC(11) Survivor regions: 1->1(4)
[2020-04-08T14:08:59.679+0500][gc,heap      ] GC(11) Old regions: 6->6
[2020-04-08T14:08:59.679+0500][gc,heap      ] GC(11) Humongous regions: 0->0
[2020-04-08T14:08:59.679+0500][gc,metaspace ] GC(11) Metaspace: 16055K->16055K(1064960K)
[2020-04-08T14:08:59.679+0500][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 25.549ms
[2020-04-08T14:08:59.679+0500][gc,cpu       ] GC(11) User=0.01s Sys=0.02s Real=0.02s
[2020-04-08T18:12:36.834+0500][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-08T18:12:36.838+0500][gc,task      ] GC(12) Using 4 workers of 4 for evacuation
[2020-04-08T18:12:36.877+0500][gc,mmu       ] GC(12) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-08T18:12:36.877+0500][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 7.3ms
[2020-04-08T18:12:36.877+0500][gc,phases    ] GC(12)   Evacuate Collection Set: 27.9ms
[2020-04-08T18:12:36.877+0500][gc,phases    ] GC(12)   Post Evacuate Collection Set: 1.5ms
[2020-04-08T18:12:36.877+0500][gc,phases    ] GC(12)   Other: 9.2ms
[2020-04-08T18:12:36.877+0500][gc,heap      ] GC(12) Eden regions: 24->0(24)
[2020-04-08T18:12:36.877+0500][gc,heap      ] GC(12) Survivor regions: 1->1(4)
[2020-04-08T18:12:36.877+0500][gc,heap      ] GC(12) Old regions: 6->6
[2020-04-08T18:12:36.877+0500][gc,heap      ] GC(12) Humongous regions: 0->0
[2020-04-08T18:12:36.877+0500][gc,metaspace ] GC(12) Metaspace: 16055K->16055K(1064960K)
[2020-04-08T18:12:36.878+0500][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 44.635ms
[2020-04-08T18:12:36.879+0500][gc,cpu       ] GC(12) User=0.04s Sys=0.02s Real=0.04s
[2020-04-08T23:59:15.238+0500][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-08T23:59:15.240+0500][gc,task      ] GC(13) Using 4 workers of 4 for evacuation
[2020-04-08T23:59:15.267+0500][gc,mmu       ] GC(13) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-08T23:59:15.267+0500][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 4.7ms
[2020-04-08T23:59:15.267+0500][gc,phases    ] GC(13)   Evacuate Collection Set: 17.1ms
[2020-04-08T23:59:15.268+0500][gc,phases    ] GC(13)   Post Evacuate Collection Set: 1.2ms
[2020-04-08T23:59:15.268+0500][gc,phases    ] GC(13)   Other: 7.6ms
[2020-04-08T23:59:15.268+0500][gc,heap      ] GC(13) Eden regions: 24->0(24)
[2020-04-08T23:59:15.268+0500][gc,heap      ] GC(13) Survivor regions: 1->1(4)
[2020-04-08T23:59:15.268+0500][gc,heap      ] GC(13) Old regions: 6->6
[2020-04-08T23:59:15.268+0500][gc,heap      ] GC(13) Humongous regions: 0->0
